0,1,2
2434,35827,505
1635,1023,34199
1315,22205,3846
44739,561,1883
399,10131,4071
2059,619,736
555,986,27281
9537,4613,556
17262,2584,3979
10930,3009,4280
4944,2731,12762
1141,19200,4858
145,2401,35415
4957,3069,7955
8549,164,5555
1271,26665,2801
18477,5127,838
5847,1584,14381
1095,43240,494
2187,2250,11661
8072,435,3016
1086,2267,31162
1740,1190,21475
197,57377,954
2948,4402,12403
2167,2024,23382
2861,21275,896
1824,2283,19124
2098,2891,7309
615,38340,1224
962,923,58749
6720,3046,5260
7776,528,12323
43898,51,2745
4128,23473,441
4550,13179,1833
1670,33919,1008
8597,4601,2355
92,3065,20587
15281,1554,325
167,823,11495
3137,16677,1433
9398,1088,4064
1741,11538,6862
653,10768,7133
15399,1885,2582
328,16040,4784
4164,465,19625
23187,1977,1364
4962,11830,2870
274,1431,36344
3698,1240,15378
5092,10745,1647
37194,1585,1196
2318,5803,5780
12817,2612,5322
13139,3371,2202
536,5448,1642
46249,1012,6
5010,130,12478
7392,4277,4744
3049,3125,6178
11092,7182,2212
1480,1996,32050
982,13337,1939
46933,388,884
6647,15670,437
159,15043,116
1047,345,35771
6362,5509,2054
1472,56178,581
1862,18895,1493
61206,955,988
128,8088,7900
564,58695,1521
28939,1279,145
12975,667,4270
31025,1516,2177
952,3206,2970
1288,9020,3131
2771,9957,2243
1744,3601,13104
9634,3816,3424
1764,3646,8616
2472,3874,13434
316,46465,1549
15680,3293,534
6926,539,2720
15102,1170,6450
1237,67606,180
4429,2770,10283
15841,832,208
694,6174,13440
1786,22605,2931
3457,1412,1006
3911,282,13484
24461,246,3622
6527,1279,10353
6055,8419,1182
4701,661,19285
774,32849,1834
4037,3431,11296
4339,1156,15889
310,1261,13158
967,5017,19682
5634,3181,8731
1718,27246,958
193,6077,3573
541,25017,339
270,45705,403
3690,2855,8936
4546,704,17862
21137,3848,1428
930,9848,5470
8453,1608,10790
4017,6874,4734
25639,3788,63
16829,475,4591
57930,341,1649
5986,402,5360
8727,9107,518
153,70068,1507
16147,3859,2026
4721,223,7750
650,34275,2266
716,51517,614
9064,890,10554
3628,6474,71
2522,9720,3388
3169,952,23413
2732,5184,6403
3695,11878,876
1448,57979,649
8968,458,6403
4038,2269,387
200,3559,27491
945,2736,3750
9315,8206,2269
17453,143,763
8,22536,5409
310,69115,985
1452,11631,1539
14784,2245,38
3506,15583,3488
12927,4320,138
1245,321,32496
14060,7334,662
1185,3512,4032
2993,3546,10799
11123,1110,6745
608,15903,2144
4270,1378,18643
1902,7239,10559
12582,11,5767
485,23047,191
2210,2521,16675
6579,6689,5911
8792,1160,5670
7313,4817,1302
10868,7476,144
36358,135,2258
18887,2251,3038
1640,4492,15384
21872,1140,3872
100,1462,59625
597,431,29654
18949,161,2560
2910,7604,1813
1381,9824,2985
4642,1250,11962
5126,4567,10026
7792,1097,7680
1070,22910,4031
871,21036,2340
2966,535,25556
985,56563,420
2125,14,26192
2188,7146,1232
11787,1192,2251
5089,413,21840
3298,27124,963
1573,1646,16043
29583,606,3180
6156,64,6518
2001,513,4995
1140,61,48831
2458,1673,28647
58571,218,43
3605,747,19931
22518,875,4078
2369,324,630
604,7805,7685
16750,3982,354
749,954,36662
6565,4362,6
500,18629,5876
4075,6629,1338
3360,980,10453
249,34233,3068
48162,1777,719
229,2768,39032
3649,3195,12555
2081,546,29138
5780,8534,2956
11651,23,6980
4435,8021,5630
73540,394,71
2555,8864,1779
21862,10,253
4471,10451,1393
7355,6308,3338
13208,5568,1955
20747,2804,133
3061,14215,3691
7446,8928,2839
1312,5143,14621
5472,5531,5306
3770,14610,1944
2373,12476,4774
88,11361,626
4265,9698,11
16221,6591,435
1359,62165,440
689,41111,726
20504,4860,468
3195,8479,296
10811,3268,4009
3056,1811,17030
208,26487,1283
7815,2175,10623
1696,1700,30782
4281,8076,4318
1230,2240,15068
4388,614,187
3034,681,28276
9217,705,5249
842,6430,15748
868,3277,28049
1892,5151,941
6915,3634,6413
104,3770,578
2963,3618,15454
4999,1941,15389
2150,3136,10974
5359,8690,1427
519,1372,65502
493,13125,7033
38367,349,2530
7300,914,13685
1823,20392,666
404,57868,200
9655,2061,1815
17347,2008,1505
8443,5990,1191
6232,13771,605
9996,1225,8533
34645,2481,879
1386,23108,3323
9983,5355,1926
6605,5778,3102
2729,10474,4544
456,30,74273
40780,2958,2
66186,911,926
375,1846,23663
306,33557,1915
9284,3460,5901
3211,184,18923
4260,1760,7087
3389,1829,3951
16945,1385,3608
19234,4086,513
9668,489,2612
1391,6007,12666
3321,7317,5459
13026,1801,6196
1563,19029,3533
1894,1316,37441
8752,1755,1602
1398,1220,11525
399,390,43716
344,1203,47583
10712,604,1986
6338,12643,1593
5060,8827,3348
14541,307,2067
608,208,56990
2033,2432,2469
8831,30,970
11588,2716,490
17098,4094,1716
226,7593,12948
4895,3197,11972
7214,10237,2394
522,313,13234
8634,845,2490
13709,1077,2867
13648,1334,5693
3641,27899,682
2395,5837,9513
9167,2627,2906
38760,76,1593
5999,6680,870
1,5737,14341
641,744,64411
2486,2804,16345
4454,4639,277
2627,1119,12494
28297,1560,1521
10252,1921,4575
413,5081,11811
10131,2640,1707
2177,14776,287
767,35494,203
13490,2307,1405
1963,6145,307
26405,1455,2576
13068,1474,773
2664,244,38482
10110,4382,3940
126,5209,4083
7399,5878,392
1043,1876,10369
24499,1598,2396
14329,1374,2412
442,10863,1823
2381,45289,138
5523,6950,1572
4535,8530,3568
14187,4130,903
4545,5108,7629
1134,5453,3227
8507,1024,8311
183,51,31794
5381,1346,2344
5394,2685,4669
20391,1105,4700
1154,3188,18954
2828,24007,1984
116,1772,10604
29985,274,2664
42617,708,1358
5808,2097,2790
5803,16728,851
10149,3526,335
1980,5514,6263
5140,2209,816
5896,2075,13204
263,23327,1788
2692,7953,8661
974,34099,1700
4158,4758,9373
4518,115,22176
9584,5809,968
6103,8939,4052
1906,892,8295
1028,47897,1209
32972,531,2118
2446,25797,1604
8237,1904,9922
739,4424,18198
2840,12712,2881
909,6607,15463
336,144,40435
7880,682,1853
2848,834,12672
2633,5276,8550
5548,1712,8621
471,12886,3427
4789,13659,162
3103,1556,13048
888,4722,10808
6991,14384,721
658,21341,61
33396,1929,1562
15989,6438,733
904,7987,12413
3084,1444,24813
414,1520,32239
1693,6525,5545
67654,1288,321
23148,60,3505
2427,197,14101
72356,156,1532
7291,12660,357
3890,23364,841
2026,3120,22085
1585,1889,20743
279,1866,17592
897,342,20462
9418,10323,822
790,2960,4724
3972,4971,4869
6877,2523,3452
4718,8984,2069
1381,255,39198
1209,6707,11306
14663,3744,2542
7470,1313,901
374,5154,17041
1754,132,55086
2524,155,44026
5437,11444,1849
3077,3060,746
4162,13884,3106
13299,2835,884
2049,11495,3579
981,6447,4248
22979,410,2366
4352,4281,1132
11161,559,8389
562,19427,2891
6317,3587,4253
6379,1893,8131
1106,451,2193
4505,1186,4634
6077,1063,347
155,4743,13569
3451,5703,6273
10608,2460,1049
2286,6663,8066
1930,6909,3921
243,13475,4458
2222,23880,995
322,64274,44
2819,6944,10564
172,8760,5886
3772,253,24643
23544,876,2145
1172,40510,692
1566,3368,8190
2767,1208,7334
2534,7037,5371
8762,1993,3298
4133,2497,5075
7379,234,11932
4752,1870,4974
279,28293,768
11488,3549,3585
5164,5301,7274
1799,2759,6903
1625,16916,2845
5666,4852,1161
1608,1363,40681
12724,1639,6659
1789,4655,14200
3515,6559,9092
6972,2027,11370
1164,774,38732
9616,139,4355
3282,919,4680
354,10500,9701
1675,736,16335
13754,5062,1826
3410,11106,1166
5243,16324,251
8407,2332,2159
2347,10733,2685
10317,1393,7221
1012,17185,522
727,8225,11260
6920,11533,1237
7711,2511,1137
2668,4449,1387
1357,11774,4287
242,61871,486
52,590,4378
7612,6800,2409
4905,7448,4755
4941,4716,5414
4841,7206,2013
1460,10485,8155
21623,851,686
10305,2179,2817
23936,2955,1710
2215,3840,7118
1752,2164,5229
871,2000,20112
780,9755,11014
285,3143,24210
6098,648,9741
10904,3411,1546
1250,20869,342
6019,4262,8341
3437,3736,11249
11974,3919,2893
7978,98,13900
6302,14674,86
11334,1508,6110
3401,770,23068
6175,7268,5149
5211,3706,2239
209,16208,3621
2133,25306,1450
1018,48819,1148
4201,9170,5279
144,71017,758
221,5061,21050
40029,1589,1287
18719,6031,178
4584,3940,5285
1877,43,12776
14382,2136,793
2977,1319,8110
66423,96,390
1415,16558,151
56333,1540,213
2284,15686,2539
3125,15007,2330
2313,21147,1724
21173,2351,2756
4313,7014,2094
40928,112,661
6475,7130,2630
244,33219,2852
8563,7372,317
5857,5010,6599
627,27361,2726
176,1620,60164
5033,990,1463
2886,1086,26772
291,1790,49342
614,19693,3680
32548,691,1035
10225,6349,2481
8395,4091,3513
8661,596,9187
3734,4777,3781
878,867,30308
1523,74,34254
12088,2018,7014
5356,3702,3027
3042,1861,13984
2104,1402,17427
940,625,69572
19395,1615,168
13498,4053,3979
634,4572,1015
1244,17491,4584
327,5299,19906
67251,1169,639
3863,7886,1046
10647,6092,1761
10522,949,223
528,2648,30177
2201,6236,2910
760,688,14255
56,1677,44181
9696,5494,4446
6843,8805,211
7636,6261,1418
1284,298,9273
21745,1866,1980
5001,12243,911
776,5937,6957
4635,5633,1672
1492,25379,2351
73,4052,26802
11239,5952,3014
17898,1565,4521
1538,947,3716
3732,10991,366
11319,4830,918
1496,1469,6772
4275,2902,11505
1896,15176,4398
2914,15443,1447
21469,3698,47
571,639,33812
2723,78,4909
2897,417,9957
47913,669,475
164,60065,1852
2562,653,6048
10788,5189,404
5307,8078,705
7523,11683,1096
3877,604,21209
1256,6373,4879
10421,2508,7131
4246,3333,1222
15796,905,6496
660,11131,5786
8088,6716,2315
12294,4205,1365
4912,809,421
5793,3841,4422
8858,5226,5004
1325,2476,22507
3296,124,7669
579,5853,8580
2156,7659,3187
349,2601,247
9822,5977,2392
17424,610,6174
10209,277,6276
3924,13511,3747
896,21900,2805
1552,6243,10423
5947,9329,1903
476,1590,5376
8017,3035,1678
71953,688,156
13,1354,6534
8336,7819,1248
41780,2083,427
6629,357,11816
499,421,48061
1377,1614,7859
7004,1789,7995
131,32064,127
44109,437,1112
2109,14069,3002
2168,36288,897
9283,1499,97
1418,4994,16545
4687,486,8610
563,26147,3844
6088,14817,1367
3811,4380,9016
3060,2938,18265
7029,8102,3962
7192,7548,810
2678,1366,11351
1934,1159,30006
364,11937,4919
1153,22803,1157
282,4200,7358
4447,8660,6418
15081,3589,1860
2965,14085,937
330,2216,29538
20283,183,5707
3377,29839,453
653,1815,32565
3766,5615,7504
334,4346,5600
1340,4673,7744
7519,3483,8486
577,1697,54503
7502,5405,3881
1528,36674,368
111,17749,1994
6644,7425,1498
71429,993,542
2946,2659,10900
392,49198,697
960,1580,26903
1916,3929,1694
3412,1980,8441
1455,7284,3392
219,2821,2084
326,24914,2254
6488,3112,10188
5782,335,7825
1148,30535,2296
2440,5039,2389
3784,958,6218
2990,8950,7635
5169,13500,2300
5150,9526,2400
620,2054,35307
921,3425,25450
378,11269,7970
395,1108,9762
10966,2121,5207
1057,2927,16003
1094,8314,5932
2093,18544,3977
268,2454,5846
3231,2566,1943
574,21171,4307
1412,32244,2121
8819,3212,7759
1075,1729,7243
45802,739,1001
35726,19,2774
3939,3102,3382
21237,342,4845
8137,1684,9573
1940,21611,2178
30587,36,1727
3752,2397,9593
8706,2243,6032
1702,59,19736
1006,31437,2617
1571,11199,2414
2977,25414,103
2754,3263,9297
37964,265,2225
6163,4107,781
39318,921,106
589,9324,3518
5851,13119,1518
7686,187,8692
14116,2529,1640
7171,1429,9996
5590,268,1327
5606,1124,3503
11538,1852,7391
4500,4096,9772
2650,11763,72
972,9900,8521
642,58159,1461
3267,13823,527
1002,600,66635
5719,2343,5736
24397,1890,117
16288,1104,1686
666,3299,11611
3129,31031,647
420,22181,830
3604,13039,4593
1198,593,18673
3903,1989,16535
4817,469,11185
5864,153,1959
1733,61096,110
929,278,42354
1204,1284,1348
7477,391,1764
5121,20570,563
491,897,21526
8910,1380,8420
236,54554,1571
7327,3147,1969
936,11797,7679
322,68,58824
1068,5075,27
18797,2888,697
482,52289,1241
747,4877,1953
813,8375,5124
2116,121,36414
29140,1111,2288
16363,2946,979
207,2471,8671
5406,4428,6666
127,49957,1760
1003,7216,6207
6225,9917,3066
13555,805,6431
720,113,3473
738,262,71514
6304,5643,7158
275,12310,2274
6270,4496,4197
568,71869,475
1616,3793,3061
11073,254,3139
2136,1085,8876
13567,3831,1105
23864,109,459
14470,5793,1309
65294,516,480
436,26885,1965
1645,7048,8962
6955,5277,4694
2260,874,18254
1514,18772,136
1292,48982,469
49058,14,1992
30422,1394,614
1521,4550,13825
6148,2907,2500
1249,3974,9686
27211,1184,1654
45,36559,1600
1946,16184,1141
9790,909,5884
7698,4532,4833
5336,2004,7494
22885,4994,314
3059,22282,493
8223,3169,5120
186,33842,318
4114,2387,17282
6745,4123,5700
533,126,25561
30098,2141,532
11114,10145,340
9346,2131,6801
5641,7831,4863
19108,1657,4008
630,65270,385
22066,1479,1299
1324,12908,6228
58884,750,278
1907,27529,409
3639,9888,4939
1678,13054,396
713,3968,25897
2308,707,31002
1855,1642,29482
1214,15455,5060
4613,11258,4388
72904,283,824
35936,496,814
19156,1240,1173
1301,3764,17557
25324,1713,1770
1493,15065,3378
838,83,22201
2642,34518,702
4238,26634,158
34758,1364,1743
24881,224,1138
3528,532,11731
1180,19138,2380
4867,14562,1298
1063,669,24094
6104,16891,52
13351,4664,1751
24036,1351,3539
3599,5244,10413
43574,1521,691
24921,1419,283
9475,2894,4912
16635,3440,1089
1386,3493,21220
1044,3998,13058
2496,16311,1914
6707,6024,6188
8491,753,7433
3094,9859,6652
3000,7909,3741
50727,1368,29
2644,10601,7293
4498,12206,3981
138,19804,3263
96,6440,10920
5957,3494,9197
1085,8951,6264
1583,182,81
16414,1842,5152
3309,4166,462
1215,23601,2515
366,30596,882
3959,1625,9656
542,4180,19190
4004,3897,2645
529,35421,1193
1304,15403,2214
13775,3654,2622
27889,1292,1945
2105,3629,19636
4593,16788,201
1146,3535,6732
4531,7489,2425
612,5526,17937
1791,364,23834
6695,786,14661
7425,2649,5504
14509,1035,4291
7622,2109,4007
370,787,56109
232,3344,4804
8316,1245,4153
11178,5694,280
425,943,72211
584,14575,975
4031,1021,20929
431,8996,432
1196,32575,509
4738,3980,6343
12069,5320,1059
1428,3347,18029
12257,6223,414
507,2257,44723
8113,1295,6637
99,65551,1425
1049,12746,6692
5477,7583,6022
10537,3383,5798
68091,494,256
516,7500,3640
3866,14891,2961
7128,6580,4282
2122,44485,555
7003,5214,1408
18152,2653,707
4270,19793,966
2145,20199,2735
1372,470,51433
7789,5266,497
5112,6141,5219
4219,1004,13705
2314,1516,12364
3616,9124,2519
27963,3098,367
1796,10698,483
542,15709,5676
9719,3572,6070
1315,647,21758
26107,459,2796
2444,15299,4042
12887,4251,3285
1809,39788,1113
670,2149,1729
29415,996,2920
6347,491,13999
2639,2701,13660
7659,7395,3594
1432,26961,1339
4335,11595,2634
1827,4507,11991
921,67718,644
6220,1194,9443
1099,8560,10218
1261,2904,28816
12576,7219,214
12635,363,290
5133,3657,10434
189,20504,2429
2432,9194,7959
1322,24755,1622
1489,4792,2585
6778,3385,1000
17586,2783,1329
390,2972,26348
18648,3260,2111
1834,3042,17776
15812,1486,1896
5627,7715,2115
2046,1052,19315
2162,4270,13750
656,2555,12606
49606,137,335
11382,4958,3668
4172,1527,2774
5690,2593,9257
4196,148,10964
23769,355,3303
39080,548,747
1333,758,5655
460,1277,51681
1569,30001,299
22763,1209,722
251,1015,1121
4845,10407,4102
18001,5407,49
3805,7536,5185
8175,3946,695
4879,5394,2665
2141,10107,680
1954,2799,12137
2936,6741,236
15436,238,5333
1693,5249,9503
3975,8214,6478
3796,8549,6953
22672,418,4219
3625,9,8180
16034,102,7301
1362,3025,10668
4658,6763,3257
10690,8775,1094
827,15571,755
2382,1458,5590
35095,262,125
759,3725,6433
5925,3818,1608
26522,2582,1449
2751,1546,19550
3377,9055,5776
27443,638,589
26747,72,1914
5404,12366,362
9758,1674,8222
8300,503,548
9089,1029,10878
17716,977,2663
5298,9118,4709
4515,22367,740
5744,1465,10984
5435,1069,17782
9810,6925,113
7921,3281,4489
2750,20365,1758
9866,8663,410
1000,3849,16940
619,3442,14892
2988,19524,1868
1646,30865,1560
13632,7912,595
692,1322,45945
845,10297,2824
13184,2445,3325
2510,5903,2595
220,40239,2352
1246,10154,6752
14818,3353,3000
21279,1121,489
4378,7671,7369
292,17050,3906
107,44756,1895
3581,331,16866
4054,9313,785
12439,2858,4139
12365,933,4436
5449,4192,2564
1970,1660,11220
8253,257,14411
22028,3324,797
1535,13931,1768
8343,3598,7869
12505,4486,2126
36151,1774,401
1338,1115,42838
258,7350,9327
29519,2253,1240
32325,1144,59
25357,765,2642
1504,47729,767
3794,20076,528
3988,3037,14265
1151,1121,16720
11021,4321,803
3262,4827,6913
1216,4256,20973
17239,1248,479
862,5718,3997
51614,2033,50
1268,1945,6373
505,3003,6092
3955,17876,332
1178,1,46014
4235,2065,7809
3365,10004,4428
1871,2155,15822
3776,5480,711
751,12838,1267
28111,343,1008
1631,2038,2360
7093,52,3772
2022,9440,2089
4375,5343,5870
5068,7788,2895
2866,5564,4352
6252,741,3217
27806,953,3238
15780,2552,4321
5568,10363,46
54060,1034,369
1659,351,58057
20676,971,2060
2293,17482,1824
13409,1214,4937
2011,24473,21
33,42950,1047
1868,12195,2765
45158,1127,926
2421,8191,3086
1673,1795,13403
2881,2466,7037
676,650,52989
2333,26216,822
12009,243,608
10685,841,8478
7684,9223,765
246,219,20368
8284,2582,8761
32946,1442,511
89,1573,15340
933,4483,8120
151,1182,33399
2795,2833,5666
3223,11901,4128
5223,7089,3157
734,7071,9646
855,1214,25360
20438,1812,1398
684,526,41075
501,8180,892
11857,2997,84
18268,3626,424
19840,2386,1784
724,12265,8106
37207,2441,330
907,1926,40635
227,656,46917
662,1707,18743
1607,10208,1051
12710,4946,2457
1346,6863,538
8974,5608,2710
1765,8649,4123
7223,2402,7264
458,43711,53
803,4667,21839
631,1065,59200
14657,628,6729
136,4712,15632
5552,9612,1021
13917,898,2302
2407,7771,337
25,3670,9851
12218,2473,2682
754,2680,17166
295,4859,8371
1882,9066,6972
2631,13580,1061
3818,5965,5741
24732,3070,484
9013,2876,446
847,2226,8029
8999,2380,4799
6505,10183,1698
56546,59,948
37903,1187,162
38379,1716,1128
1852,47986,112
93,14339,5235
79,18918,4770
37432,1222,1923
1462,2296,14301
697,1386,43280
3135,791,9408
2091,2670,14510
15244,4731,603
2485,6270,6707
4749,24070,101
603,49673,278
1531,6135,6043
3741,7384,2976
3104,6041,5115
6232,344,15318
13850,6385,1651
1918,2610,25746
33422,1095,1069
2891,3501,2855
36584,1964,644
2252,5005,10037
2840,2645,15622
3849,715,10638
969,16489,3302
3045,34625,284
10266,537,5132
5190,562,5992
44313,1816,243
4532,3240,6647
15230,743,1435
6433,8241,122
1235,4368,8752
145,9089,9504
367,50433,1165
2505,2925,14762
5731,5847,508
411,7169,4624
4071,160,15788
3705,858,1542
8354,13354,56
313,2062,37275
52862,474,220
2927,37272,62
3502,5283,2479
1126,52791,1079
22550,2522,438
698,4943,8451
2465,19018,806
16789,2393,2382
3166,4073,8771
3141,3829,5922
907,8718,846
2339,936,24129
5460,18202,217
729,24100,2545
68,2121,49036
20078,3289,1509
9077,4006,4067
9881,1438,1485
4848,2298,9672
8713,3691,861
12427,1732,1235
28685,557,380
10214,9037,1334
20011,442,3
1276,1777,25115
3354,276,28019
455,39135,1354
19362,2128,3808
4299,630,3583
935,38709,973
802,26259,3444
1691,42113,222
16311,2178,3430
965,7455,9563
5322,6435,5525
473,63280,688
4069,5353,7920
299,13581,2694
3995,14505,3237
230,8633,2605
6533,4876,3646
16582,134,7166
849,26104,595
9952,3244,637
10337,5238,3205
17040,728,5017
4186,15276,670
6227,4647,8806
414,28994,3334
4596,1910,931
3657,2049,5971
2691,4688,3529
8034,7935,36
1776,1423,3268
567,2365,11150
3663,1718,3032
1031,6978,791
2227,2080,4212
3711,31670,28
53339,89,1085
20219,2105,992
8020,775,11045
10448,7758,2137
2739,7273,1092
24075,586,1383
12539,2025,1159
3326,10242,6583
782,189,33028
63059,660,1168
876,4248,10478
2234,39969,244
2179,10346,5635
5293,86,10318
2371,2409,19880
149,37507,616
83,307,65043
2832,1934,4187
11754,2356,4537
7058,3717,5855
6208,6411,2850
4395,14173,2725
1806,6571,13274
2857,740,31970
3554,3612,2223
3386,8053,1718
7995,6013,3655
6581,11990,981
5853,914,17316
2654,1530,16605
70977,800,620
43040,1996,726
7554,1550,6333
451,6840,14806
7114,4525,2981
19522,299,5080
2021,796,40188
2808,635,20548
3522,4472,4524
9323,1618,3187
14499,2293,4094
591,1493,9102
11474,1323,2102
2410,30407,852
11662,4077,2763
26325,2326,203
2291,382,10755
361,883,66331
16195,311,5447
745,45593,918
18538,1270,3160
371,16442,1383
5036,3316,3811
46864,290,558
454,4562,22039
860,44096,1660
31490,2289,1081
35510,932,1421
3266,442,16229
1427,8445,10844
1237,428,12023
5465,997,10127
739,14903,4172
825,1062,5490
1544,594,37340
919,6069,1533
5511,856,3686
19332,747,4420
1431,14506,3791
1590,4132,11110
47378,1662,135
1313,37687,1529
2102,12006,2319
23968,1057,2476
49817,535,1682
466,734,2639
7559,9850,1377
262,373,69994
539,1770,38953
2816,1695,567
2071,18393,471
1649,2936,1458
1790,37392,163
2376,4539,10243
1481,35786,1420
54476,880,769
15333,1147,3054
1443,2070,25836
30305,472,1597
2579,17153,2074
1724,5669,620
4620,16029,588
19582,4369,1208
9414,2252,8649
161,6933,7179
2342,3465,192
18320,203,3909
4785,1328,13505
2308,9348,6098
22576,287,1465
4024,2138,14611
2407,3408,7559
2596,7180,8220
3022,17625,1026
13722,3140,4385
3334,7559,8000
2469,2115,11800
7909,11052,1508
1534,3582,16876
10444,864,10075
17728,67,525
3926,6347,8495
4699,5052,9031
1306,52374,9
9339,10892,282
5913,11173,542
856,23375,3041
1024,2093,29208
28369,3497,675
5967,7719,5495
3247,4584,3308
1837,33107,1068
2543,21772,147
2713,24338,256
23651,2732,756
214,74172,220
473,3862,9218
1158,5599,11701
3331,22017,1523
4673,4334,2003
18192,1792,2000
9128,4227,1472
11522,1743,4831
150,21672,4989
1719,521,7515
1587,12334,4949
4432,12874,1112
893,13719,5335
11210,2963,2312
1438,662,36949
81,11011,6167
69,698,62227
768,16965,5540
6495,1938,2164
3489,556,14997
10379,3796,1264
2569,4305,3610
3039,5047,4242
13248,432,6944
3530,17321,1186
25208,3520,1052
1975,9597,4838
6799,929,12706
3127,6805,7204
14259,8107,259
1016,4062,5175
51408,974,804
2474,583,33127
978,1151,14681
4415,2991,3897
2854,16812,3352
7271,2807,3127
20583,581,4193
16621,2147,3545
10039,1627,5463
2674,18428,2419
1052,36853,2025
4958,1455,15807
31977,1687,835
344,17560,1212
6284,2754,1292
7605,2063,9022
7730,3401,2750
2697,15748,836
2019,4178,4679
18180,2921,3250
439,6148,17852
